countryID,name,surname,passport,domain,email,phone_number,born_date,sex,salary,index,years_working,grade
35,Carline,Leipold,345-90-2836,cloudflare.com,carline.leipold@cloudflare.com,+54 472 569 2212,1991-10-14,F,2546,0.95,13,5.31
16,Steffi,Fosten,552-57-9643,hhs.gov,steffi.fosten@hhs.gov,+86 898 402 8414,2004-09-09,F,18002,0.82,1,2.68
204,Marylynne,Mathissen,319-51-7658,qq.com,marylynne.mathissen@qq.com,+880 689 426 6245,1957-04-01,F,26542,0.85,41,2.49
164,Deidre,Eadmead,181-64-2433,mtv.com,deidre.eadmead@mtv.com,+7 727 662 9354,1948-11-04,F,24569,0.49,28,7.07
128,Ethe,Retallick,455-82-1116,purevolume.com,ethe.retallick@purevolume.com,+47 655 647 6155,1978-03-18,M,19622,0.02,1,3.51
173,Meredith,Masterson,426-03-1912,printfriendly.com,meredith.masterson@printfriendly.com,+86 523 749 3769,1952-02-29,F,25571,0.12,6,7.9
263,Mal,Quinet,156-55-6669,devhub.com,mal.quinet@devhub.com,+62 659 334 1837,1979-05-22,M,5146,0.02,1,4.57
262,Nani,Curtin,632-59-7288,nps.gov,nani.curtin@nps.gov,+63 109 765 7445,1958-04-16,F,28629,0.1,5,0.78
88,Morten,Suter,430-17-0151,skyrock.com,morten.suter@skyrock.com,+1 405 189 4801,1988-12-13,M,13866,0.34,6,8.91
117,Elna,Oxtarby,534-21-6540,oakley.com,elna.oxtarby@oakley.com,+62 367 681 2424,2004-12-30,F,40887,0.09,0,0.13
244,Page,Stranger,500-78-7741,oakley.com,page.stranger@oakley.com,+374 144 524 1836,1959-06-02,F,32463,0.56,26,8.51
258,Lorraine,Senussi,867-34-5470,dion.ne.jp,lorraine.senussi@dion.ne.jp,+92 902 575 4833,1992-08-09,F,42767,0.26,3,5.03
159,Randy,O'Hallagan,108-68-4027,skype.com,randy.o'hallagan@skype.com,+62 501 293 6244,1964-12-24,F,36014,0.3,12,1.47
22,Inge,Tackett,739-18-4475,uiuc.edu,inge.tackett@uiuc.edu,+55 897 297 5153,1966-05-12,F,26380,0.61,24,1.61
151,Agna,Hunton,587-13-8914,mit.edu,agna.hunton@mit.edu,+242 615 536 0575,1981-07-15,F,20946,0.13,3,2.2
18,Forrester,Habercham,261-23-1168,constantcontact.com,forrester.habercham@constantcontact.com,+976 616 194 2400,1954-06-06,M,47133,0.96,49,4.2
9,Ross,Pipe,561-80-3724,globo.com,ross.pipe@globo.com,+62 325 158 6115,1959-11-03,M,38189,0.95,44,7.23
147,Rakel,Pencost,722-37-0654,cloudflare.com,rakel.pencost@cloudflare.com,+250 190 138 4595,1994-09-05,F,17213,0.27,3,6.33
206,Griffy,Koppelmann,238-70-4369,merriam-webster.com,griffy.koppelmann@merriam-webster.com,+62 671 592 3439,1948-07-13,M,28545,0.84,48,1.78
249,Sonya,Rivallant,489-94-8034,admin.ch,sonya.rivallant@admin.ch,+242 597 343 1653,1950-09-20,F,6644,0.22,12,0.35
80,Adolpho,Bracer,450-72-6283,boston.com,adolpho.bracer@boston.com,+86 311 651 6590,2002-08-17,M,22015,0.13,0,7.06
67,Tedi,Anthoine,833-07-8439,discovery.com,tedi.anthoine@discovery.com,+86 388 885 0990,1975-05-03,F,19265,0.35,11,9.86
50,Oran,Simmance,761-67-1582,state.gov,oran.simmance@state.gov,+46 662 414 0965,1999-04-13,M,46495,0.05,0,8.4
181,Pamella,Cutill,168-64-4781,google.com,pamella.cutill@google.com,+36 405 311 1309,1995-10-06,F,45891,0.93,9,2.45
26,Jewelle,Kleinhausen,375-17-5126,barnesandnoble.com,jewelle.kleinhausen@barnesandnoble.com,+507 904 681 0310,2000-09-03,F,24934,0.84,4,7.14
222,Collete,MacLachlan,464-55-1170,princeton.edu,collete.maclachlan@princeton.edu,+48 139 451 4056,1998-10-06,F,46219,0.09,1,2.05
161,Noll,Jerg,175-06-5498,purevolume.com,noll.jerg@purevolume.com,+62 819 932 7510,1952-06-15,M,32833,0.78,41,1.04
81,Stanton,Kubatsch,309-89-7957,newyorker.com,stanton.kubatsch@newyorker.com,+86 978 587 2915,1966-11-06,M,41191,0.66,26,6.87
256,Corene,Bartlomieczak,823-81-0301,discovery.com,corene.bartlomieczak@discovery.com,+48 974 890 6583,1946-02-19,F,42500,0.25,15,2.94
122,Meridith,Buncom,626-74-0969,edublogs.org,meridith.buncom@edublogs.org,+53 233 219 4486,1989-10-04,F,42347,0.36,6,5.87
14,Madelyn,Middis,369-85-6466,globo.com,madelyn.middis@globo.com,+66 904 587 6620,1990-10-05,F,41386,0.89,13,6.9
